"id_provincia","year","value"
21,1985,2
22,1985,1
23,1985,0
24,1985,1
25,1985,0
27,1985,0
28,1985,19
29,1985,0
52,1985,0
30,1985,0
31,1985,1
32,1985,0
34,1985,0
35,1985,0
36,1985,0
26,1985,0
37,1985,0
40,1985,0
41,1985,3
42,1985,0
43,1985,0
38,1985,0
44,1985,0
45,1985,0
46,1985,1
47,1985,0
48,1985,0
49,1985,0
50,1985,0
1,1986,0
2,1986,0
3,1986,0
4,1986,0
33,1986,2
5,1986,0
6,1986,0
7,1986,2
8,1986,3
9,1986,0
10,1986,0
11,1986,3
39,1986,0
12,1986,0
51,1986,0
13,1986,0
14,1986,0
15,1986,0
16,1986,0
17,1986,0
18,1986,5
19,1986,0
20,1986,0
21,1986,2
22,1986,1
23,1986,0
24,1986,3
25,1986,0
27,1986,2
28,1986,16
29,1986,1
52,1986,0
30,1986,0
31,1986,1
32,1986,0
34,1986,0
35,1986,1
36,1986,0
26,1986,0
37,1986,0
40,1986,1
41,1986,15
42,1986,0
43,1986,0
38,1986,0
44,1986,0
45,1986,7
46,1986,4
47,1986,0
48,1986,4
49,1986,0
50,1986,3
1,1987,0
2,1987,0
3,1987,0
4,1987,0
33,1987,5
5,1987,0
6,1987,0
7,1987,6
8,1987,15
9,1987,0
10,1987,0
11,1987,0
39,1987,0
12,1987,0
51,1987,0
13,1987,0
14,1987,0
15,1987,0
16,1987,0
17,1987,0
18,1987,3
19,1987,0
20,1987,0
21,1987,0
22,1987,0
23,1987,0
24,1987,0
25,1987,0
27,1987,0
28,1987,23
29,1987,3
52,1987,1
30,1987,0
31,1987,0
32,1987,0
34,1987,0
35,1987,2
36,1987,0
26,1987,3
37,1987,0
40,1987,0
41,1987,16
42,1987,3
43,1987,0
38,1987,0
44,1987,0
45,1987,1
46,1987,2
47,1987,0
48,1987,9
49,1987,0
50,1987,0
1,1988,0
2,1988,0
3,1988,0
4,1988,1
33,1988,0
5,1988,0
6,1988,3
7,1988,2
8,1988,14
9,1988,0
10,1988,0
11,1988,5
39,1988,0
12,1988,0
51,1988,0
13,1988,0
14,1988,2
15,1988,0
16,1988,1
